Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Latitude,Longitude
FAIRHOPE HEALTH & REHAB,015222,108 SOUTH CHURCH STREET,FAIRHOPE,Baldwin,3,4,0,0,64,15,0,0,30.520236,-87.904817
DIVERSICARE OF OXFORD,015132,1130 SOUTH HALE STREET,OXFORD,Calhoun,85,0,19,11,116,32,0,0,33.606969,-85.829657
SUNSET MANOR,015149,251 SUNSET PLACE,GUIN,Marion,3,8,6,0,62,5,6,0,33.96997,-87.917408
"MONTGOMERY HEALTH AND REHAB, LLC",015228,4490 VIRGINIA LOOP ROAD,MONTGOMERY,Montgomery,74,3,11,5,65,46,14,0,32.317353,-86.238939
"SUMTER HEALTH AND REHABILITATION, L L C",015042,1505 EAST 4TH AVENUE,YORK,Sumter,85,1,17,3,82,83,11,0,32.496973,-88.28415
CROWNE HEALTH CARE OF FT PAYNE,015156,403 13TH STREET NORTHWEST,FORT PAYNE,DeKalb,27,0,8,2,99,29,5,1,34.454657,-85.715164
WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,015450,ONE CROWN CIRCLE,HUNTSVILLE,Madison,4,0,10,1,41,10,0,0,0,0
ATTALLA HEALTH AND REHAB,015203,915 STEWART AVENUE SOUTHEAST,ATTALLA,Etowah,43,1,17,7,82,88,14,0,33.984972,-86.107809
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",015321,3141 OLD COLUMBIANA ROAD,BIRMINGHAM,Jefferson,60,18,30,18,80,45,2,0,33.406063,-86.808144
EXTENDICARE HEALTH CENTER,015152,950 SOUTH ST. ANDREWS STREET,DOTHAN,Houston,60,71,49,14,133,67,100,0,31.211341,-85.390383
MERRY WOOD LODGE,015019,P O BOX 130,ELMORE,Elmore,56,43,23,5,84,54,14,0,0,0
SELF HEALTH CARE & REHAB CENTER INC,015212,131 EAST CREST ROAD,HUEYTOWN,Jefferson,2,1,16,0,61,8,6,0,33.458202,-86.991687
"BURNS NURSING HOME, INC.",015009,701 MONROE STREET NW,RUSSELLVILLE,Franklin,48,2,6,5,53,42,14,0,34.514971,-87.736372
ADAMS NURSING HOME,015386,1555 HILLABEE STREET,ALEXANDER CITY,Tallapoosa,0,5,5,0,55,4,7,0,32.944915,-85.93431400000001
"TALLASSEE HEALTH AND REHABILITATION, LLC",015139,2639 GILMER AVENUE  P O BOX 780277,TALLASSEE,Elmore,3,1,29,0,80,14,8,0,32.569049,-85.937908
"FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",015437,401 ARNOLD STREET N.E.,CULLMAN,Cullman,19,36,24,0,77,20,90,2,34.181184,-86.840555
CROWNE HEALTH CARE OF MONTGOMERY,015393,1837 UPPER WETUMPKA ROAD,MONTGOMERY,Montgomery,44,6,54,8,135,27,16,0,32.386047,-86.282117
"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",015066,390 UNDERWOOD ROAD,RUSSELLVILLE,Franklin,0,3,5,0,52,6,26,0,34.51299,-87.719572
EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI,015410,2000 PEPPERELL PARKWAY,OPELIKA,Lee,4,1,5,0,14,7,13,0,32.638055,-85.404003
CYPRESS COVE CARE CENTER,015392,200 ALABAMA AVENUE,MUSCLE SHOALS,Colbert,31,9,13,0,68,24,8,0,0,0
WEST HILL HEALTH AND REHAB,015303,1028 BESSEMER RD,BIRMINGHAM,Jefferson,61,1,12,1,60,26,0,0,33.47607,-86.899142
OAK PARK,015452,1365 GATEWOOD DRIVE,AUBURN,Lee,8,14,8,0,75,6,23,0,32.63319,-85.450592
CHOCTAW HEALTH AND REHAB,015164,1406 EAST PUSHMATAHA STREET,BUTLER,Choctaw,50,50,15,9,54,25,24,0,32.08991,-88.206819
MEADOWVIEW NURSING CENTER,015400,7300 OLD HIGHWAY 78 EAST,PELL CITY,St. Clair,28,34,8,5,48,15,53,0,0,0
"PHENIX CITY HEALTH CARE, INC",015331,3900 LAKEWOOD DRIVE,PHENIX CITY,Russell,50,0,20,7,57,42,9,0,32.497496,-85.034045
"NORTH HILL NURSING AND REHABILITATION CTR, LLC",015091,200 NORTH PINE HILL ROAD,BIRMINGHAM,Jefferson,24,17,26,6,171,12,5,0,33.60914,-86.769544
DECATUR HEALTH & REHAB CENTER,015206,2326 MORGAN AVENUE SOUTHWEST,DECATUR,Morgan,58,82,24,9,67,33,19,0,34.568871,-87.008052
BIRMINGHAM NURSING AND REHABILITATION CTR LLC,015217,1000 DUGAN AVENUE,BIRMINGHAM,Jefferson,30,13,16,1,118,16,14,0,33.547224,-86.881976
SOUTH HAMPTON NURSING & REHABILITATION CENTER,015448,213 WILSON MANN ROAD,OWENS CROSS ROADS,Madison,0,1,3,0,58,3,6,0,34.587484,-86.454131
FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,015154,1653 TEMPLE AVENUE NORTH,FAYETTE,Fayette,21,31,16,3,90,32,39,0,33.707708,-87.823706
ARLINGTON REHABILITATION & HEALTHCARE CENTER,015153,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,Jefferson,80,0,25,17,94,55,3,0,33.495663,-86.849493
EVERGREEN NURSING HOME,015089,100 SANDERS DRIVE,EVERGREEN,Conecuh,41,0,8,6,53,23,0,0,31.422084,-86.94537
"GENERATIONS OF VERNON, LLC",015227,1050 CONVALESCENT ROAD,VERNON,Lamar,64,21,13,9,94,53,60,0,33.723473,-88.171487
MARION REGIONAL NURSING HOME,015167,184 SASSER DRIVE,HAMILTON,Marion,34,37,24,7,57,35,59,1,34.125111,-87.991194
"OPP HEALTH AND REHABILITATION, LLC",015210,115 PAULK AVENUE  P O BOX 730,OPP,Covington,89,14,51,21,128,55,15,0,0,0
MARENGO NURSING HOME,015330,608 NORTH MAIN STREET,LINDEN,Marengo,2,3,10,0,56,8,8,0,32.314081,-87.798181
CUMBERLAND HEALTH AND REHAB,015420,47065 AL HIGHWAY 277,BRIDGEPORT,Jackson,8,0,10,0,69,23,13,0,34.918678,-85.763719
EASTERN SHORE REHABILITATION AND HEALTH CENTER,015049,"101 VILLA DRIVE, P O BOX 1090",DAPHNE,Baldwin,17,43,36,1,78,18,18,0,30.612983,-87.910493
COOSA VALLEY HEALTH AND REHAB,015174,513 PINEVIEW AVENUE,GLENCOE,Etowah,55,60,15,9,87,35,35,0,33.954671,-85.922042
RUSSELLVILLE HEALTH CARE INC,015071,705 NORTHEAST GANDY STREET,RUSSELLVILLE,Franklin,34,21,10,4,39,37,43,0,34.509977,-87.71927
ST MARTIN'S IN THE PINES,015433,4941 MONTEVALLO ROAD,BIRMINGHAM,Jefferson,14,0,25,0,92,26,0,0,33.52718,-86.717311
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",015192,1910 PEPPERELL PKWY,OPELIKA,Lee,69,0,62,19,116,63,2,0,32.638357,-85.401017
FAIR HAVEN,015076,1424 MONTCLAIR ROAD,BIRMINGHAM,Jefferson,38,1,47,5,204,35,2,0,33.523365,-86.727038
HIGHLANDS HEALTH AND REHAB,015012,380 WOODS COVE ROAD,SCOTTSBORO,Jackson,2,35,14,0,38,8,37,0,34.661254,-86.047116
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",015103,148 TUSCALOOSA ST,MOBILE,Mobile,82,19,45,21,114,28,5,0,30.690000999999995,-88.087694
HENRY COUNTY HEALTH AND REHABILITATION FACILITY,015373,212 DOTHAN ROAD,ABBEVILLE,Henry,31,74,34,5,85,38,74,0,31.55448,-85.25308400000002
MONTROSE BAY HEALTH AND REHAB,015447,22670 MAIN STREET,FAIRHOPE,Baldwin,39,0,2,2,56,20,0,0,30.555349,-87.899732
"JACKSONVILLE HEALTH AND REHABILITATION, LLC",015391,410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,Calhoun,78,9,33,15,157,57,10,0,33.809973,-85.765334
GADSDEN HEALTH AND REHAB CENTER,015180,1945 DAVIS DRIVE,GADSDEN,Etowah,90,108,30,17,121,57,16,1,33.98946800000001,-86.028613
RIVER CITY CENTER,015113,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,Morgan,51,10,35,0,139,32,2,0,34.586299,-86.970492
HILLVIEW TERRACE,015436,100 PERRY HILL RD,MONTGOMERY,Montgomery,59,7,46,12,118,44,0,0,32.381057,-86.24659200000002
SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,015116,105 TEAKWOOD DRIVE SW,HUNTSVILLE,Madison,79,2,26,8,90,62,0,0,34.697345000000006,-86.57047
"HUNTSVILLE HEALTH & REHABILITATION, LLC",015440,4010 CHRIS DRIVE,HUNTSVILLE,Madison,8,7,17,1,91,10,10,0,34.677399,-86.578866
ALBERTVILLE NURSING HOME,015163,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,Marshall,67,37,37,13,149,63,31,0,34.281539,-86.193455
"HUNTER CREEK HEALTH AND REHABILITATION, LLC",015034,600 34TH ST,NORTHPORT,Tuscaloosa,43,6,17,4,69,14,9,0,33.239209,-87.620846
MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,015112,603 WRIGHT STREET,TUSKEGEE,Macon,24,8,10,2,85,45,7,0,32.432819,-85.691216
MOUNT ROYAL TOWERS,015455,300 ROYAL TOWER DRIVE,BIRMINGHAM,Jefferson,1,1,13,0,112,9,7,0,33.465377,-86.769205
DIVERSICARE OF MONTGOMERY,015040,2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,Montgomery,83,1,15,12,82,35,15,0,32.358466,-86.279247
"WALKER REHABILITATION CENTER, INC",015408,350 NORTHEAST 4TH STREET     P O BOX 30,CARBON HILL,Walker,18,8,4,4,43,30,4,0,33.888127,-87.522981
"GRAND BAY CONVALESCENT HOME, INC.",015406,13750 HIGHWAY 90 WEST P.O. BOX 328,GRAND BAY,Mobile,1,2,10,0,62,12,0,0,0,0
AHAVA HEALTHCARE OF ALABASTER,015144,"850 9TH STREET, NORTHWEST",ALABASTER,Shelby,59,5,13,5,125,25,18,0,33.253477,-86.826511
CROWNE HEALTH CARE OF SPRINGHILL,015426,3712 DAUPHIN ST,MOBILE,Mobile,2,0,3,0,23,5,0,0,30.686734000000005,-88.131367
BARFIELD HEALTH CARE,015225,22444 HIGHWAY 431,GUNTERSVILLE,Marshall,67,35,53,9,91,50,63,0,34.421687,-86.263931
OAKVIEW MANOR HEALTH CARE CENTER,015216,929 MIXON SCHOOL ROAD,OZARK,Dale,78,21,34,18,90,39,55,0,31.428264,-85.646107
JOHN KNOX MANOR INC  I I,015135,4401 NARROW LANE ROAD,MONTGOMERY,Montgomery,0,1,9,0,46,8,12,0,32.322232,-86.282062
DIVERSICARE OF FOLEY,015032,1701 NORTH ALSTON STREET,FOLEY,Baldwin,54,1,11,8,99,76,8,1,30.427691000000003,-87.685462
LAUDERDALE CHRISTIAN NURSING HOME,015361,2019 COUNTY ROAD 394,KILLEN,Lauderdale,13,7,10,0,57,12,12,0,34.912422,-87.528812
"SOUTH HEALTH AND REHABILITATION, LLC",015097,1220 SOUTH 17TH STREET,BIRMINGHAM,Jefferson,47,1,12,2,62,44,4,1,33.496663,-86.799773
SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI,015024,1600 WEST HOBBS STREET,ATHENS,Limestone,80,65,58,11,114,37,47,0,34.805249,-86.991581
"PARK MANOR HEALTH AND REHABILITATION, LLC",015326,2201 MCFARLAND BOULEVARD,NORTHPORT,Tuscaloosa,72,12,31,9,124,44,30,0,33.239917,-87.579677
MONTGOMERY CHILDREN'S SPECIALTY CENTER,01A208,2853 FORBES DRIVE,MONTGOMERY,Montgomery,7,0,0,0,46,18,1,1,32.42435,-86.286729
"ELBA NURSING AND REHABILITATION CENTER, LLC",015083,987 DRAYTON STREET,ELBA,Coffee,24,8,18,3,98,12,12,0,31.429030999999995,-86.076329
SPRINGHILL SENIOR RESIDENCE,015435,3717 DAUPHIN STREET,MOBILE,Mobile,0,30,17,0,75,4,63,0,30.687059999999995,-88.130213
JACKSON HEALTH CARE FACILITY,015188,2616 NORTH COLLEGE AVENUE,JACKSON,Clarke,1,10,24,0,69,12,30,0,0,0
EAMC LANIER NURSING HOME,015045,4800 48TH STREET,VALLEY,Chambers,2,42,24,1,83,19,85,0,32.82397,-85.1702
WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,015381,500 SPANISH FORT BLVD,SPANISH FORT,Baldwin,9,0,13,1,30,17,2,0,30.668202000000004,-87.902895
PLANTATION MANOR NURSING HOME,015015,6450 OLD TUSCALOOSA HIGHWAY   P O BOX 97,MC CALLA,Jefferson,0,0,10,0,83,1,0,0,33.322518,-87.033532
CLAY COUNTY NURSING HOME,015124,83825 HIGHWAY 9   P O BOX 1270,ASHLAND,Clay,59,22,19,13,56,35,39,1,33.276548,-85.82378900000002
LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,015168,1655 MCGILL AVENUE,MOBILE,Mobile,25,1,11,3,58,53,1,0,30.684156,-88.078467
CLOVERDALE REHABILITATION AND NURSING CENTER,015184,412 CLOVERDALE ROAD,SCOTTSBORO,Jackson,40,15,28,6,119,29,58,1,34.662102,-86.04946
"SELMA HEALTH AND REHAB, LLC",015119,11 BELL ROAD,SELMA,Dallas,59,11,4,0,112,31,5,0,32.42679,-87.046679
SOUTHLAND NURSING HOME,015104,500 SHIVERS TERRACE,MARION,Perry,34,1,48,48,52,22,3,0,32.615469,-87.308695
"CORDOVA HEALTH AND REHABILITATION, LLC",015115,70 HIGHLAND STREET WEST,CORDOVA,Walker,16,5,28,3,100,16,23,0,33.762015,-87.184853
"GULF COAST HEALTH AND REHABILITATION, LLC",015456,8002 GRELOT ROAD,MOBILE,Mobile,32,12,13,1,72,35,3,0,30.661305000000002,-88.230211
GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,015446,2831 HIGHLAND AVENUE SOUTH,BIRMINGHAM,Jefferson,39,0,13,5,83,38,0,0,33.506060000000005,-86.782274
AZALEA GARDENS OF MOBILE,015151,1758 SPRINGHILL AVE,MOBILE,Mobile,29,3,10,1,83,20,5,0,30.691974,-88.082071
FOREST MANOR HEALTH AND REHAB,015143,2215 32ND STREET,NORTHPORT,Tuscaloosa,77,27,45,26,128,43,36,1,33.239022,-87.580309
GLENWOOD CENTER,015147,211 ANA DRIVE,FLORENCE,Lauderdale,10,7,24,0,101,9,24,0,34.833104,-87.631777
BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,015134,733 MARY VANN LANE,BIRMINGHAM,Jefferson,6,0,8,0,118,25,0,0,33.634742,-86.665468
GOODWATER HEALTHCARE CENTER,015204,16 JONES HILL ROAD,GOODWATER,Coosa,0,0,5,0,63,1,0,0,33.067394,-86.052701
OAKS ON PARKWOOD SKILLED NURSING FACILITY,015369,2625 LAUREL OAK DRIVE,BESSEMER,Jefferson,10,0,57,1,104,14,7,0,33.36173,-86.888227
DIVERSICARE OF PELL CITY,015189,"510 WOLF CREEK ROAD, NORTH",PELL CITY,St. Clair,84,2,27,19,66,43,3,0,33.595754,-86.310642
ENTERPRISE HEALTH & REHABILITATION CENTER,015320,300 PLAZA DRIVE P O BOX 311227,ENTERPRISE,Coffee,28,0,55,0,161,57,33,0,31.30296,-85.836699
MARSHALL MANOR NURSING HOME,015378,3120 NORTH STREET,GUNTERSVILLE,Marshall,1,2,20,0,71,14,19,0,34.316279,-86.312714
DIVERSICARE OF BOAZ,015063,600 CORLEY AVENUE,BOAZ,Marshall,15,0,11,0,92,26,0,0,34.219899,-86.161699
FLORALA HEALTH AND REHABILITATION LLC,015451,23621 GOLDENROD AVENUE,FLORALA,Covington,22,4,14,1,74,23,17,0,31.001042000000005,-86.311653
KNOLLWOOD HEALTHCARE,015463,3151-A KNOLLWOOD DRIVE,MOBILE,Mobile,26,18,16,14,64,51,35,0,30.623804999999997,-88.173687
PERRY COUNTY NURSING HOME,015158,505 EAST LAFAYETTE STREET,MARION,Perry,37,1,6,2,59,35,12,0,32.631705,-87.310044
SUMMERFORD NURSING HOME INC,015075,4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,Morgan,9,28,46,0,188,23,123,0,34.385159,-86.911951
KENSINGTON HEALTH AND REHABILITATION,015429,550 CONGRESS STREET,MOBILE,Mobile,70,2,20,5,108,41,8,0,30.694418,-88.051751
TROY HEALTH & REHABILITATION CENTER,015213,515 ELBA HIGHWAY,TROY,Pike,25,45,17,3,136,19,35,0,31.779017,-85.963219
CROWNE HEALTH CARE OF CITRONELLE,015121,19225 NORTH 4TH STREET,CITRONELLE,Mobile,46,2,12,5,63,42,1,1,31.092237000000004,-88.242325
LAFAYETTE NURSING HOME,015414,555 B STREET SW,LAFAYETTE,Chambers,5,0,6,0,44,6,3,0,32.885534,-85.407587
GREENE COUNTY NURSING HOME,015178,509 WILSON AVE,EUTAW,Greene,22,2,12,12,36,4,0,0,32.844744,-87.889307
ATHENS HEALTH AND REHABILITATION LLC,015016,611 WEST MARKET STREET,ATHENS,Limestone,13,8,46,0,115,19,27,0,34.803468,-86.976937
CHARLTON PLACE REHAB AND HEALTHCARE CENTER,015460,65 CHARLTON PLACE,DEATSVILLE,Elmore,6,1,0,0,59,18,2,0,32.504623,-86.416539
PIEDMONT HEALTH CARE CENTER,015194,30 ROUNDTREE DRIVE,PIEDMONT,Calhoun,38,4,28,11,65,16,11,0,33.908571,-85.60789
"GLEN HAVEN HEALTH AND REHABILITATION, LLC",015186,2201 32ND STREET,NORTHPORT,Tuscaloosa,33,16,29,7,176,41,7,2,33.238719,-87.579001
ROBERTSDALE REHABILITATION & HEALTHCARE CTR,015443,18700 U S HIGHWAY 90,ROBERTSDALE,Baldwin,48,5,5,0,116,42,7,0,30.563858000000003,-87.70559
"CIVIC CENTER HEALTH AND REHABILITATION, LLC",015109,1201 22ND STREET NORTH,BIRMINGHAM,Jefferson,0,15,13,0,88,3,2,0,33.528778,-86.811724
"RIDGEWOOD HEALTH SERVICES, INC.",015315,201 OAKHILL ROAD,JASPER,Walker,13,1,28,1,79,28,0,0,33.850615,-87.280154
WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,015383,1900 OLIVE STREET,CULLMAN,Cullman,43,13,50,5,86,32,30,0,34.151669,-86.853063
EAST GLEN,015388,53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,Jefferson,3,0,7,0,93,18,5,0,33.596299,-86.664617
COOSA VALLEY HEALTHCARE CENTER,015010,260 WEST WALNUT STREET,SYLACAUGA,Talladega,7,33,2,2,71,11,43,0,33.163735,-86.254687
GALLERIA WOODS SKILLED NURSING FACILITY,015459,3850 GALLERIA WOODS DRIVE,BIRMINGHAM,Jefferson,0,1,2,0,30,5,0,0,33.365101,-86.81743
"CROSSVILLE HEALTH AND REHABILITATION, LLC",015176,8922 HIGHWAY 227,CROSSVILLE,DeKalb,77,4,37,5,127,68,10,0,34.295715,-85.987986
SHADESCREST HEALTH CARE CENTER,015114,331 WEST 25TH STREET,JASPER,Walker,47,9,14,5,80,36,50,0,33.826314,-87.27810500000001
KELLER LANDING,015028,813 KELLER LANE,TUSCUMBIA,Colbert,13,2,12,0,65,31,5,0,34.742978,-87.705834
NORTH MOBILE NURSING AND REHABILITATION CTR,015183,4525 ST STEPHENS ROAD,EIGHT MILE,Mobile,46,36,30,13,126,43,26,0,30.764495999999998,-88.12817000000001
MAGNOLIA RIDGE,015133,420 DEAN DRIVE,GARDENDALE,Jefferson,26,1,15,0,127,18,0,0,33.650017,-86.798514
BROWN NURSING HOME,015191,2334 WASHINGTON STREET,ALEXANDER CITY,Tallapoosa,2,9,8,0,63,1,28,0,32.952411,-85.979185
ATMORE NURSING CENTER,015129,715 EAST LAUREL STREET,ATMORE,Escambia,38,3,18,7,81,23,9,0,31.016117,-87.478489
HARTFORD HEALTH CARE,015419,217 TORO ROAD,HARTFORD,Geneva,65,1,3,2,82,14,1,0,31.102013999999997,-85.679378
"NHC HEALTHCARE, ANNISTON",015120,2300 COLEMAN RD,ANNISTON,Calhoun,74,62,78,12,109,93,128,0,33.63181,-85.803373
DADEVILLE HEALTHCARE CENTER,015166,351 NORTH EAST STREET,DADEVILLE,Tallapoosa,54,2,19,8,92,21,1,0,32.833963,-85.759194
TERRACE OAKS CARE & REHABILITATION CENTER,015060,4201 BESSEMER SUPER HIGHWAY,BESSEMER,Jefferson,6,0,0,0,52,19,0,0,33.430499,-86.941519
FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,01A193,2048 W FAIRVIEW AVE,MONTGOMERY,Montgomery,11,0,1,0,47,13,0,0,32.351485,-86.32689
EL REPOSO NURSING FACILITY,015402,260 MILNER CHAPEL ROAD,FLORENCE,Lauderdale,3,3,17,1,57,4,14,0,34.969866,-87.582079
OAK TRACE CARE & REHABILITATION CENTER,015050,325 SELMA ROAD,BESSEMER,Jefferson,12,0,12,1,62,22,0,0,33.429256,-86.94124
CROWNE HEALTH CARE OF GREENVILLE,015193,408 COUNTRY CLUB DRIVE,GREENVILLE,Butler,58,17,26,19,69,38,39,0,31.842381,-86.636685
"HANCEVILLE NURSING & REHAB CENTER, INC",015073,420 MAIN STREET NE,HANCEVILLE,Cullman,32,25,23,3,191,21,21,0,34.062879,-86.771875
TRUSSVILLE HEALTH & REHABILITATION CENTER,015467,119 WATTERSON PARKWAY,TRUSSVILLE,Jefferson,25,3,21,6,86,12,12,0,33.613592000000004,-86.609624
DIVERSICARE OF BIG SPRINGS,015111,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,Madison,93,4,14,10,106,32,7,1,34.721746,-86.586137
VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,015195,415 COOK SPRINGS,PELL CITY,St. Clair,73,11,38,22,95,45,36,0,33.593208,-86.398024
CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,015200,877 CEDAR BLUFF ROAD,CENTRE,Cherokee,77,3,47,16,141,84,2,0,34.16484,-85.662084
"CRIMSON HEALTH AND REHAB, LLC",015037,3312 WOODLEY ROAD,MONTGOMERY,Montgomery,3,0,2,0,50,14,0,0,32.31802100000001,-86.261591
BROOKSHIRE HEALTHCARE CENTER,015127,4320 JUDITH LANE,HUNTSVILLE,Madison,39,1,10,4,97,16,7,0,34.716006,-86.629849
HENDRIX HEALTH AND REHABILITATION,015138,1000 HIGHWAY 33,DOUBLE SPRINGS,Winston,48,14,27,3,93,22,32,0,34.163162,-87.409783
ENGLEWOOD HEALTH CARE CENTER,015322,2046 SOUTH ALABAMA AVE,MONROEVILLE,Monroe,25,5,14,3,70,21,9,0,31.499204000000002,-87.319172
MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,015031,805 FLAGG CIRCLE,FLORENCE,Lauderdale,12,57,37,0,170,34,123,1,34.80827,-87.687293
