Facility Name,Facility Name Normalized,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment
Barrington,BARRINGTON,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bickford Senior Living Middletown,BICKFORD SENIOR LIVING MIDDLETOWN,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterwood-Ashley Place,CHESTERWOOD-ASHLEY PLACE,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doverwood-Ashley Place,DOVERWOOD-ASHLEY PLACE,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Pavilion aka Majestic Care of Fairfield,FAIRFIELD PAVILION AKA MAJESTIC CARE OF FAIRFIELD,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Place,FAIRFIELD PLACE,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJESTIC CARE FKA Garden Manor,MAJESTIC CARE FKA GARDEN MANOR,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Middletown,OTTERBEIN MIDDLETOWN,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story Point,STORY POINT,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriCounty Extended Care aka Majestic Care,TRICOUNTY EXTENDED CARE AKA MAJESTIC CARE,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODLANDS,WOODLANDS,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodridge,WOODRIDGE,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centreville Village Assisted Living,CENTREVILLE VILLAGE ASSISTED LIVING,20201104,OH,CARROLL,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbana Place,URBANA PLACE,20201104,OH,CHAMPAIGN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Buck Creek,BROOKDALE BUCK CREEK,20201104,OH,CLARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Glen Health Campus,FOREST GLEN HEALTH CAMPUS,20201104,OH,CLARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearth and Home At Harding,HEARTH AND HOME AT HARDING,20201104,OH,CLARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwood,NORTHWOOD,20201104,OH,CLARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakwood Village,OAKWOOD VILLAGE,20201104,OH,CLARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Masonic Home,OHIO MASONIC HOME,20201104,OH,CLARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinebrook Retirement Living - Assisted Living,PINEBROOK RETIREMENT LIVING - ASSISTED LIVING,20201104,OH,CLERMONT,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Salem,BROOKDALE SALEM,20201104,OH,COLUMBIANA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtyard of Lexington,COURTYARD OF LEXINGTON,20201104,OH,COLUMBIANA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle Place,CARLISLE PLACE,20201104,OH,CRAWFORD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard Park,ORCHARD PARK,20201104,OH,CRAWFORD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Crossings,ABERDEEN CROSSINGS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCORA MEMORY SUPPORT AT MT ALVERNA,ANCORA MEMORY SUPPORT AT MT ALVERNA,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden Courts of Parma,ARDEN COURTS OF PARMA,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachwood Commons,BEACHWOOD COMMONS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON GARDENS,BRIGHTON GARDENS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Westlake Village IL,BROOKDALE WESTLAKE VILLAGE IL,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Pointe Assisted Living,BROOKLYN POINTE ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury Senior,DANBURY SENIOR,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVON OAKS ASSISTED LIVING,DEVON OAKS ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Park Retirement,EAST PARK RETIREMENT,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNOR'S VILLAGE,GOVERNOR'S VILLAGE,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamlet at Chagrin Falls,HAMLET AT CHAGRIN FALLS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOR COURT,HARBOR COURT,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennings Assisted Living,JENNINGS ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judson Manor,JUDSON MANOR,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeside Assisted Living,LAKESIDE ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT OF HEARTS VILLA,LIGHT OF HEARTS VILLA,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGREGOR ASSISTED LIVING,MCGREGOR ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menorah Park Wiggins Place,MENORAH PARK WIGGINS PLACE,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Neill Healthcare Bay Village ASST LIVING,O'NEILL HEALTHCARE BAY VILLAGE ASST LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Neill Healthcare Lakewood  Assisted Living,O'NEILL HEALTHCARE LAKEWOOD ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Neill Healthcare North Olmsted,O'NEILL HEALTHCARE NORTH OLMSTED,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK CREEK CENTER,PARK CREEK CENTER,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYALTON WOODS RETIREMENT,ROYALTON WOODS RETIREMENT,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaker Gardens,SHAKER GARDENS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Gardens - Menorah Park,STONE GARDENS - MENORAH PARK,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphony at Olmsted Falls,SYMPHONY AT OLMSTED FALLS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE FOUNTAINS ASSISTED LIVING,THE FOUNTAINS ASSISTED LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE INN AT JOSHUA TREE,THE INN AT JOSHUA TREE,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Renaissance Retirement Campus,THE RENAISSANCE RETIREMENT CAMPUS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLAGE OF THE FALLS,VILLAGE OF THE FALLS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISTA SPRINGS RAVINIA,VISTA SPRINGS RAVINIA,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITALIA SENOIR RESIDENCE WESTLAKE,VITALIA SENOIR RESIDENCE WESTLAKE,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Heights,WINDSOR HEIGHTS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODLANDS OF SHAKER HEIGHTS,WOODLANDS OF SHAKER HEIGHTS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside Senior Living,WOODSIDE SENIOR LIVING,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brethren Retirement Community,BRETHREN RETIREMENT COMMUNITY,20201104,OH,DARKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Senior Living,BROOKDALE SENIOR LIVING,20201104,OH,DARKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country-View of Sunbury,COUNTRY-VIEW OF SUNBURY,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First and Main Lewis Center,FIRST AND MAIN LEWIS CENTER,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganzhorn Suites,GANZHORN SUITES,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Bear Trail,INN AT BEAR TRAIL,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Olentangy Trail,INN AT OLENTANGY TRAIL,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powell Assisted Living and Memory Care,POWELL ASSISTED LIVING AND MEMORY CARE,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commons of Providence,COMMONS OF PROVIDENCE,20201104,OH,ERIE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkvue,PARKVUE,20201104,OH,ERIE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Place,PORTLAND PLACE,20201104,OH,ERIE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbington of Pickerington Assisted Living,ABBINGTON OF PICKERINGTON ASSISTED LIVING,20201104,OH,FAIRFIELD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bickford of Lancaster,BICKFORD OF LANCASTER,20201104,OH,FAIRFIELD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carriage Court Assisted Living,CARRIAGE COURT ASSISTED LIVING,20201104,OH,FAIRFIELD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carriage Court of Washington Court House,CARRIAGE COURT OF WASHINGTON COURT HOUSE,20201104,OH,FAYETTE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine House,ALPINE HOUSE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Park Assisted Living,AMBER PARK ASSISTED LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashford on Broad,ASHFORD ON BROAD,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashford on Sturbridge,ASHFORD ON STURBRIDGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bickford of Bexley,BICKFORD OF BEXLEY,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bickford of Scioto,BICKFORD OF SCIOTO,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bickford of Worthington,BICKFORD OF WORTHINGTON,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Lakeview Crossing,BROOKDALE LAKEVIEW CROSSING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Muirfield,BROOKDALE MUIRFIELD,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Pinnacle,BROOKDALE PINNACLE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carriage Court of Hilliard,CARRIAGE COURT OF HILLIARD,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Blossom Senior Living,CHERRY BLOSSOM SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut Hill Senior Living,CHESTNUT HILL SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Retirement Village,CLAREMONT RETIREMENT VILLAGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First and Main of New Albany,FIRST AND MAIN OF NEW ALBANY,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Community Village,FIRST COMMUNITY VILLAGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendship Village of Columbus,FRIENDSHIP VILLAGE OF COLUMBUS,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood Alzheimer's Special Care Center,GLENWOOD ALZHEIMER'S SPECIAL CARE CENTER,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Summit Trail,INN AT SUMMIT TRAIL,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inniswood Village,INNISWOOD VILLAGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemper House - Worthington,KEMPER HOUSE - WORTHINGTON,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Place,KENSINGTON PLACE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Village,LINCOLN VILLAGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfair Village Nursing Care Center,MAYFAIR VILLAGE NURSING CARE CENTER,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Albany Rehab and Assisted Living,NEW ALBANY REHABILITATION AND ASSISTED LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Salem Manor,NEW SALEM MANOR,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakleaf Village of Columbus,OAKLEAF VILLAGE OF COLUMBUS,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Living Westminster -Thurber,OHIO LIVING WESTMINSTER -THURBER,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount Senior Living,PARAMOUNT SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkside Village Senior Living,PARKSIDE VILLAGE SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickerington Care and Rehab,PICKERINGTON CARE AND REHABILITATION,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scioto Community,SCIOTO COMMUNITY,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Star of Dublin Village,SENIOR STAR OF DUBLIN VILLAGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith's Mill Health Campus,SMITH'S MILL HEALTH CAMPUS,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story Point Senior Living,STORY POINT SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoryPoint Senior Living,STORYPOINT SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stygler Commons,STYGLER COMMONS,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit's Trace Healthcare Center,SUMMIT'S TRACE HEALTHCARE CENTER,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise of Dublin,SUNRISE OF DUBLIN,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise of Gahanna,SUNRISE OF GAHANNA,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forum at Knightsbridge,THE FORUM AT KNIGHTSBRIDGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grand of Dublin,THE GRAND OF DUBLIN,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Woodlands of Columbus,THE WOODLANDS OF COLUMBUS,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Creeks Senior Living,THREE CREEKS SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditions at Mill Run,TRADITIONS AT MILL RUN,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trueman Pointe Care Center,TRUEMAN POINTE CARE CENTER,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villas at St Therese,VILLAS AT ST THERESE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet Springs,VIOLET SPRINGS,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Glen Retirement Community,WESLEY GLEN RETIREMENT COMMUNITY,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Ridge,WESLEY RIDGE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Woods at New Albany,WESLEY WOODS AT NEW ALBANY,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerville Senior Living,WESTERVILLE SENIOR LIVING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wexner Heritage House,WEXNER HERITAGE HOUSE,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
